".jpeg, .jpg, .png, ,gif",".jpeg, .jpg, .png, ,gif"
No Image uploaded for this product,No Image uploaded for this product
Browse,Browse
Related Products,Related Products
This attribute set does not have attributes which we can use for configurable product,This attribute set does not have attributes which we can use for configurable product
Please select one or more attributes.,Please select one or more attributes.
Sold By,Sold By
Total %d review(s),Total %d review(s)
View Reviews,View Reviews
Write Review,Write Review
File Size Exceeding the Limit.,File Size Exceeding the Limit.
Max Upload Size: 200 KB,Max Upload Size: 200 KB
Max Upload Size: 500 KB,Max Upload Size: 500 KB
This key already assigned to another seller. Please fill another.,This key already assigned to another seller. Please fill another.
My Seller Profile,My Seller Profile
View Collection,View Collection
View Profile,View Profile
General,General
Shop Title,Shop Title
Contact Number,Contact Number
(Image Size: 150 X 150),(Image Size: 150 X 150)
Shop Logo,Shop Logo
(Image Size: 1180 X 250),(Image Size: 1180 X 250)
Shop Banner,Shop Banner
Shop Address 1,Shop Address 1
Shop Address 2,Shop Address 2
City,City
Pincode,Pincode
State,State
Country,Country
Description,Description
Please provide link of your facebook page,Please provide link of your facebook page
Facebook Link (optional),Facebook Link (optional)
For example:,For example:
or,or
Please provide link of your google plus profile,Please provide link of your google plus profile
Google Plus Link (optional),Google Plus Link (optional)
Please provide link of your twitter profile,Please provide link of your twitter profile
Twitter Link (optional),Twitter Link (optional)
Meta Keywords,Meta Keywords
Meta Description,Meta Description
Example: my-selling-store,Example: my-selling-store
Page Url Key,Page Url Key
Policy,Policy
Return Policy,Return Policy
Shipping Policy,Shipping Policy
Payout,Payout
Admin will use the Payout information to make the payment. Only one payment information can be saved at a time.,Admin will use the Payout information to make the payment. Only one payment information can be saved at a time.
Select Payment Method,Select Payment Method
Seller,Seller
Register As Seller,Register As Seller
My Reviews,My Reviews
Customer Review,Customer Review
Disapproval Reason,Disapproval Reason
Start Date,Start Date
End Date,End Date
Your comment to this vacation,Your comment to this vacation
Invalid format. Use: MM/dd/YYYY,Invalid format. Use: MM/dd/YYYY
End date should be greater than start date,End date should be greater than start date
End date should be future date,End date should be future date
My Vacations History,My Vacations History
Set New Vacation,Set New Vacation
Vacation Interval,Vacation Interval
Is Active,Is Active
Vacation Halt Status,Vacation Halt Status
Reason for canceling vacation,Reason for canceling vacation
click to view product details,click to view product details
Sorry! No Product(s) Found.,Sorry! No Product(s) Found.
Please select a category for your request.,Please select a category for your request.
Please provide reason for your request.,Please provide reason for your request.
Request a New Category,Request a New Category
Choose a Category,Choose a Category
Select Category,Select Category
Maximum 500 characters allowed.,Maximum 500 characters allowed.
Submit Category Request Form,Submit Category Request Form
No categories are available for request.,No categories are available for request.
Payout Request,Payout Request
New Payout Request,New Payout Request
Request Reason,Request Reason
Submit Payout Request Form,Submit Payout Request Form
Payout Details,Payout Details
Requested On,Requested On
Your Comment For Request,Your Comment For Request
Only 200 characters allowed,Only 200 characters allowed
"Only (xls, xlsx) formats are allowed","Only (xls, xlsx) formats are allowed"
Toggle navigation,Toggle navigation
My Account,My Account
Logout,Logout
Account Warning!,Account Warning!
Back To Site,Back To Site
Category Request Details,Category Request Details
Category Name,Category Name
Your request is in pending. Please wait for store response.,Your request is in pending. Please wait for store response.
This feature is not active into your account.,This feature is not active into your account.
To request this feature,To request this feature
Click,Click
Here,Here
Request To Activate Import/Export Feature,Request To Activate Import/Export Feature
Comment ,Comment 
Required Field. Maximum 200 characters allowed.,Required Field. Maximum 200 characters allowed.
Click to send request,Click to send request
Your file has some errors. Please import file after resolving errors.,Your file has some errors. Please import file after resolving errors.
Click to download your file with errors,Click to download your file with errors
Download File with Errors,Download File with Errors
Go Back,Go Back
Please do not go back or refresh page while uploading your products.,Please do not go back or refresh page while uploading your products.
It may causes errors in your catalog.,It may causes errors in your catalog.
Download Template,Download Template
Select Product Type,Select Product Type
Product Attribute Set,Product Attribute Set
Select Attribute Set,Select Attribute Set
Download Template File,Download Template File
Please make sure that columns in your file must be matched with template file created for you on the basis of selected attribute.,Please make sure that columns in your file must be matched with template file created for you on the basis of selected attribute.
Import Products,Import Products
Import Action,Import Action
Select Action,Select Action
"Action will only be performed on the basis of SKU of products. Without sku, product will not be consider for any action.","Action will only be performed on the basis of SKU of products. Without sku, product will not be consider for any action."
Upload File,Upload File
"Only (xls, xlsx) file will be accepted","Only (xls, xlsx) file will be accepted"
File must not exceed %s MB,File must not exceed %s MB
Browse File,Browse File
Validate File,Validate File
File must no exceed %s MB,File must no exceed %s MB
Import/Export Instructions,Import/Export Instructions
Import,Import
Export,Export
Import Instructions,Import Instructions
"Download Template as per your product type. At a time, only 1 type of products can be import.","Download Template as per your product type. At a time, only 1 type of products can be import."
"If you import more than 1 type of products from one file, then system will be fail or affect your catalog.","If you import more than 1 type of products from one file, then system will be fail or affect your catalog."
Each template will have '%s' worksheet. Your import file must have this worksheet as it is. Please do not change anything in its content.,Each template will have '%s' worksheet. Your import file must have this worksheet as it is. Please do not change anything in its content.
Each template will have '%s' worksheet. Please provide product data from possible values of corresponding field. If field has possible values.,Each template will have '%s' worksheet. Please provide product data from possible values of corresponding field. If field has possible values.
"Only 'xls, xlsx' file having size less than %sMB will be acceptable.","Only 'xls, xlsx' file having size less than %sMB will be acceptable."
If you want to import using exported data then copy the general & image sheet of exported file into general & image sheet of the downloaded template file.,If you want to import using exported data then copy the general & image sheet of exported file into general & image sheet of the downloaded template file.
"Use (|) to seperate value in multivalue field like category_ids, related_products.","Use (|) to seperate value in multivalue field like category_ids, related_products."
Export Instructions,Export Instructions
Select export type in export section.,Select export type in export section.
"If the export type is Category, then system will export only assigned categories to you.","If the export type is Category, then system will export only assigned categories to you."
"In case of products, select product type and attributes set.","In case of products, select product type and attributes set."
Exported data will be in xls/xlsx format.,Exported data will be in xls/xlsx format.
Export Type,Export Type
Select Export Type,Select Export Type
Category Export,Category Export
Product Export,Product Export
Product Status,Product Status
All,All
Disabled,Disabled
Enabled,Enabled
In Stock,In Stock
Out of Stock,Out of Stock
Export Data,Export Data
This process will take few minutes.,This process will take few minutes.
Please do not go back or refresh page while exporting your data.,Please do not go back or refresh page while exporting your data.
Your are not eligible to use this feature as your account is either not approved or inactive.,Your are not eligible to use this feature as your account is either not approved or inactive.
"Currently, this feature is disabled by store.","Currently, this feature is disabled by store."
You cannot use this feature as required library is missing. Please contact to support.,You cannot use this feature as required library is missing. Please contact to support.
Total Sale,Total Sale
Total Earning,Total Earning
Transaction Details,Transaction Details
My Earnings,My Earnings
Earnings History,Earnings History
Order Wise Earnings,Order Wise Earnings
Transactions History,Transactions History
Total Paid,Total Paid
Balance,Balance
Quantity to Add,Quantity to Add
Low Stock Notification,Low Stock Notification
Configuration,Configuration
Receive Low Stock Notifications,Receive Low Stock Notifications
Save Seller Level Configuration,Save Seller Level Configuration
facebook,facebook
twitter,twitter
google,google
About Seller,About Seller
Description not available.,Description not available.
Write your thought,Write your thought
Summary of your review,Summary of your review
Your Thought,Your Thought
Your Name,Your Name
Rate this seller,Rate this seller
Submit Review,Submit Review
Notify Customer by Email,Notify Customer by Email
Visible on Storefront,Visible on Storefront
Submit Comment,Submit Comment
Customer,Customer
Notified,Notified
Not Notified,Not Notified
Please provide comment,Please provide comment
Product,Product
Subtotal,Subtotal
Order Detail,Order Detail
Click to download invoice.,Click to download invoice.
Download Invoice,Download Invoice
Click to download shipping slip.,Click to download shipping slip.
Download Shipping Slip,Download Shipping Slip
Are you sure you want to send order email to customer?,Are you sure you want to send order email to customer?
Click to send email to customer,Click to send email to customer
Send Email,Send Email
Click to create shipment,Click to create shipment
Ship,Ship
Print,Print
Basic Informations,Basic Informations
Order Status,Order Status
Billing Address,Billing Address
Shipping Address,Shipping Address
Ordered,Ordered
Shipped,Shipped
Canceled,Canceled
Refunded,Refunded
Gift Message,Gift Message
Excl. Tax,Excl. Tax
Total,Total
Incl. Tax,Incl. Tax
Total incl. tax,Total incl. tax
Invoiced,Invoiced
Order Items,Order Items
Shipments,Shipments
Ship to Name,Ship to Name
Date Shipped,Date Shipped
Total Qty,Total Qty
click to view detail,click to view detail
Tax,Tax
Items To Be Shipped,Items To Be Shipped
Qty to Ship,Qty to Ship
Append Comments,Append Comments
Email Copy of Shipment,Email Copy of Shipment
Submit Shipment,Submit Shipment
New Shipment,New Shipment
Back,Back
Shipment Tracking,Shipment Tracking
Carrier,Carrier
Tracking No.,Tracking No.
Action,Action
Add Tracking Number,Add Tracking Number
Invalid value(s) for Qty to Ship,Invalid value(s) for Qty to Ship
Shipment Detail,Shipment Detail
Are you sure you want to send Shipment email to customer?,Are you sure you want to send Shipment email to customer?
Send Tracking Information,Send Tracking Information
Tracking Number,Tracking Number
Add,Add
Tracking title is required.,Tracking title is required.
Tracking number is required.,Tracking number is required.
Shipped Items,Shipped Items
Qty Shipped,Qty Shipped
No Item Shipped Yet,No Item Shipped Yet
Reviews,Reviews
Posted on:,Posted on:
by ,by 
Sorry! No Reviews Found.,Sorry! No Reviews Found.
Write your review,Write your review
Sellers List,Sellers List
Search Seller,Search Seller
Sorry! No Seller(s) Found.,Sorry! No Seller(s) Found.
General Contact,General Contact
Customer Support,Customer Support
Sales Representative,Sales Representative
Custom Email 1,Custom Email 1
Custom Email 2,Custom Email 2
"Unable to write low stock files. Permission Error on ""var"" Directory.","Unable to write low stock files. Permission Error on ""var"" Directory."
Unable to write file for Seller ,Unable to write file for Seller 
Product ID,Product ID
Current Quantity,Current Quantity
Base Image,Base Image
Small Image,Small Image
Thumbnail,Thumbnail
Disallowed file type.,Disallowed file type.
Type of the product you have selected for this import template file.,Type of the product you have selected for this import template file.
Attribute set you have selected for this product type in import template file.,Attribute set you have selected for this product type in import template file.
single pipe(|) seperated multiple categories,single pipe(|) seperated multiple categories
single pipe(|) seperated product sku,single pipe(|) seperated product sku
single pipe(|) seperated attributes,single pipe(|) seperated attributes
pair of values seperated by single pipe(|),pair of values seperated by single pipe(|)
System will group your bundle item on the basis of this title. If two items has same title then they will be grouped in same bundle.,System will group your bundle item on the basis of this title. If two items has same title then they will be grouped in same bundle.
Daily,Daily
Weekly,Weekly
Monthly,Monthly
Yearly,Yearly
Waiting for Approval,Waiting for Approval
Approved,Approved
Disapproved,Disapproved
Add new products,Add new products
Update existing products,Update existing products
Add/update products,Add/update products
Delete products,Delete products
Bank Wire,Bank Wire
Payment By Cheque,Payment By Cheque
Paypal,Paypal
Please provide the paypal email id.,Please provide the paypal email id.
Paypal Email ID,Paypal Email ID
Please provide additional information.,Please provide additional information.
Additional Information,Additional Information
Please provide the name.,Please provide the name.
Pay to the order of (name),Pay to the order of (name)
Please provide the address.,Please provide the address.
Address,Address
Address where the cheque should be sent to.,Address where the cheque should be sent to.
Please provide account owner name,Please provide account owner name
Account Owner,Account Owner
Please provide bankwire details,Please provide bankwire details
Details,Details
"Such as bank branch, IBAN number, BIC, etc.","Such as bank branch, IBAN number, BIC, etc."
Please provide bankwire address.,Please provide bankwire address.
Bank Address,Bank Address
Requsted on: ,Requsted on: 
 by, by
Amount: ,Amount: 
Payment Method: ,Payment Method: 
PayPal,PayPal
PayPal ID: ,PayPal ID: 
Additional Information: ,Additional Information: 
Bankwire,Bankwire
Owner Name: ,Owner Name: 
Details: ,Details: 
Bank Address: ,Bank Address: 
Cheque,Cheque
Address: ,Address: 
No balance amount is left for this seller.,No balance amount is left for this seller.
No order found for this seller. Transaction cannot be initiated.,No order found for this seller. Transaction cannot be initiated.
Paypal payout request failed.,Paypal payout request failed.
Please enable paypal payout to make this transaction.,Please enable paypal payout to make this transaction.
Payout request does not exist.,Payout request does not exist.
By System,By System
